                              [266.0;266.0]                                [85.0;85.0]                                [62.0;62.0]                              [119.0;119.0]
                                [80.0;80.0]                                  [1.0;1.0]                                  [2.0;2.0]                                  [3.0;3.0]
                                [77.0;77.0]                                [11.0;11.0]                                [12.0;12.0]                                [13.0;13.0]
                              [109.0;109.0]                                [21.0;21.0]                                [22.0;22.0]                                [23.0;23.0]

    [265.99999999999994;266.00000000000006]                                [85.0;85.0]                                [62.0;62.0]                              [119.0;119.0]
                                [80.0;80.0]     [13.57980439346609;13.579804393466166]    [18.159659992831124;18.159659992831227]     [48.260535613702565;48.26053561370283]
                                [77.0;77.0]    [24.605263157894665;24.605263157894807]     [17.947368421052584;17.94736842105268]      [34.44736842105254;34.44736842105272]
                              [109.0;109.0]      [36.35875112003401;36.35875112003421]     [25.468099990895904;25.46809999089605]     [47.17314888906978;47.173148889070035]

    [265.99999999999994;266.00000000000006]                                [85.0;85.0]                                [62.0;62.0]                              [119.0;119.0]
                                [80.0;80.0]    [15.884317846387406;15.884317846387859]     [18.75693362601223;18.756933626012763]    [45.358748527599225;45.358748527600504]
                                [77.0;77.0]      [27.80768678869266;27.80768678869346]      [17.91087080406406;17.91087080406456]     [31.28144240724219;31.281442407243073]
                              [109.0;109.0]     [40.96131594242013;40.961315942421315]     [25.33614663144335;25.336146631444088]     [42.702537426134974;42.70253742613617]

    [265.99999999999994;266.00000000000006]                                [85.0;85.0]                                [62.0;62.0]                              [119.0;119.0]
                                [80.0;80.0]    [15.962618749340486;15.962618749342406]    [18.771319907712684;18.771319907714936]     [45.26606134294204;45.266061342947445]
                                [77.0;77.0]      [27.913263872946523;27.9132638729499]     [17.90440348810539;17.904403488107533]    [31.182332638943453;31.182332638947194]
                              [109.0;109.0]     [41.11265659686426;41.112656596869215]     [25.32442545894664;25.324425458949708]      [42.56291794418256;42.56291794418761]

    [265.99999999999994;266.00000000000006]                                [85.0;85.0]                                [62.0;62.0]                              [119.0;119.0]
                                [80.0;80.0]    [15.965209367365338;15.965209367373095]     [18.77178989001946;18.771789890028575]     [45.263000742595814;45.26300074261771]
                                [77.0;77.0]     [27.916753443029492;27.91675344304312]    [17.904184415870212;17.904184415878927]     [31.179062141081534;31.17906214109669]
                              [109.0;109.0]      [41.117658334394065;41.1176583344141]    [25.324030634615383;25.324030634627753]     [42.558311030964035;42.55831103098465]

    [265.99999999999994;266.00000000000006]                                [85.0;85.0]                                [62.0;62.0]                              [119.0;119.0]
                                [80.0;80.0]     [15.96529500682962;15.965295006860751]       [18.7718054199342;18.77180541997079]      [45.26289957315831;45.26289957324633]
                                [77.0;77.0]    [27.916868795820438;27.916868795875015]    [17.904177168316313;17.904177168351275]      [31.17895403578808;31.17895403584889]
                              [109.0;109.0]     [41.11782367360328;41.117823673683624]      [25.32401757502747;25.32401757507698]      [42.55815875126288;42.55815875134577]

    [265.99999999999994;266.00000000000006]                                [85.0;85.0]                                [62.0;62.0]                              [119.0;119.0]
                                [80.0;80.0]    [15.965297837735084;15.965297837859707]     [18.771805933239158;18.77180593338566]       [45.26289622871381;45.2628962290666]
                                [77.0;77.0]    [27.916872608909284;27.916872609127537]     [17.904176928678517;17.90417692881844]    [31.178950462111406;31.178950462354827]
                              [109.0;109.0]     [41.11782913903383;41.117829139355216]     [25.32401714323958;25.324017143437537]     [42.55815371730087;42.558153717632976]
